Time(dataType: Time)	Temperature(unit: K, dataType: Double)	Humidity(unit: %rF, dataType: Double)
1352978103585	297.41	23.475
1352978105597	297.41	23.475
1352978107611	297.41	23.45
1352978109586	297.41	23.495
1352978111570	297.41	23.495
1352978113586	297.41	23.45
1352978115542	297.42	23.45
1352978117542	297.42	23.475
1352978119535	297.42	23.475
1352978121531	297.41	23.495
1352978123497	297.41	23.495
1352978125523	297.41	23.495
1352978127520	297.41	23.475
1352978129512	297.41	23.475
1352978131524	297.41	23.475
1352978133503	297.42	23.475
1352978135487	297.41	23.45
1352978137497	297.41	23.45
1352978139477	297.41	23.495
1352978141475	297.42	23.45
1352978143483	297.42	23.45
1352978145461	297.42	23.475
1352978147458	297.42	23.475
1352978149464	297.42	23.475
1352978151431	297.41	23.475
1352978153430	297.41	23.475
1352978155462	297.42	23.45
1352978157446	297.41	23.475
1352978159444	297.42	23.45
1352978161460	297.42	23.45
1352978163444	297.42	23.45
1352978165443	297.42	23.475
1352978167459	297.42	23.475
1352978169426	297.41	23.45
1352978171440	297.41	23.45
1352978173443	297.42	23.45
1352978175407	297.42	23.45
1352978177396	297.42	23.475
1352978179402	297.42	23.475
1352978181380	297.42	23.495
1352978183375	297.42	23.475
1352978185389	297.42	23.45
1352978187384	297.43	23.455
1352978189367	297.43	23.48
1352978191394	297.42	23.495
1352978193353	297.42	23.495
1352978195367	297.42	23.495
1352978197364	297.42	23.45
1352978199343	297.43	23.48
1352978201341	297.43	23.48
1352978203357	297.43	23.455
1352978205351	297.42	23.45
1352978207347	297.42	23.45
1352978209346	297.41	23.45
1352978211323	297.42	23.475
1352978213303	297.42	23.475
1352978215334	297.42	23.45
1352978217316	297.42	23.45
1352978219299	297.42	23.45
1352978221324	297.41	23.45
1352978223303	297.41	23.45
1352978225304	297.42	23.45
1352978227303	297.42	23.45
1352978229287	297.42	23.45
1352978231296	297.42	23.45
1352978233302	297.42	23.475
1352978235252	297.42	23.45
1352978237251	297.42	23.45
1352978239297	297.43	23.455
1352978241250	297.42	23.43
1352978243254	297.42	23.45
1352978245266	297.42	23.45
1352978247204	297.42	23.45
1352978249181	297.43	23.48
1352978251229	297.42	23.475
1352978253211	297.41	23.45
1352978255192	297.42	23.45
1352978257223	297.41	23.45
1352978259201	297.42	23.43
1352978261182	297.42	23.475
1352978263230	297.42	23.45
1352978265164	297.42	23.45
1352978267164	297.42	23.475
1352978269228	297.42	23.45
1352978271163	297.42	23.45
1352978273157	297.42	23.45
1352978275196	297.42	23.475
1352978277164	297.41	23.495
1352978279148	297.41	23.495
1352978281174	297.43	23.455
1352978283147	297.43	23.455
1352978285139	297.43	23.48
1352978287169	297.42	23.475
1352978289118	297.43	23.455
1352978291117	297.43	23.455
1352978293162	297.43	23.48
1352978295145	297.42	23.43
1352978297124	297.42	23.43
1352978299149	297.43	23.455
1352978301104	297.42	23.43
1352978303084	297.42	23.43
1352978305117	297.43	23.435
1352978307080	297.43	23.455
1352978309047	297.43	23.455
1352978311075	297.42	23.43
1352978313059	297.43	23.435
1352978315041	297.43	23.435
1352978317069	297.44	23.435
1352978319043	297.43	23.48
1352978321038	297.43	23.455
1352978323048	297.44	23.455
1352978325007	297.43	23.415
1352978327005	297.43	23.415
1352978329037	297.43	23.435
1352978330989	297.43	23.435
1352978333000	297.43	23.455
1352978335031	297.43	23.435
1352978336998	297.43	23.435
1352978338985	297.43	23.455
1352978341016	297.43	23.435
1352978342966	297.43	23.435
1352978344979	297.43	23.415
1352978346990	297.43	23.415
1352978348981	297.43	23.435
1352978350960	297.43	23.435
1352978352971	297.43	23.435
1352978354951	297.43	23.435
1352978356949	297.43	23.435
1352978358963	297.43	23.415
1352978360944	297.43	23.435
1352978362920	297.42	23.43
1352978364948	297.42	23.43
1352978366942	297.42	23.43
